avghhi,island,landlocked,opec,british,dutch,french,spanish,portuguese,language,commonlaw,europe,asia,africa,namerica,smamerica,avgpolity,avggov,avggoveff,avgtradefreedom,avglinfl,avgedu1,avgedu2,avgedu3,avgedu4,avgedu5,avgexports,avgimports,avgnatres,avgcapital,avgfdi,avglgdpcap,avgtot,avgfuel,avgki,avglpop,avgroads
0.0469326,0,0,0,0,0,0,0,0,0.0399,0,1,0,0,0,0,8,9.270262,-0.4377778,67.8,1.126202,7.7,4.3,83.67851,16.7025,88.41051,24.67613,48.65128,2.146939,26.43972,5.341284,7.330224,94.26096,8.821791,35.94255,14.96117,39
0.3029937,0,0,1,0,0,1,0,0,0.4427,0,0,0,1,0,0,0.5,13.3072,-0.5833333,61.45,1.095547,6.4,5.8,82.45649,22.25519,96.77226,39.89196,23.48337,32.96313,33.89614,1.457015,7.656898,149.519,97.37148,33.70156,17.31736,73.7
0.0310028,0,0,0,0,0,0,1,0,0.0618,0,0,0,0,0,1,8,12.97668,-0.1244444,62.77,2.310268,6,6,86.15953,65.38261,99.24869,23.14339,16.919,9.051981,19.56639,2.10224,9.000604,113.9102,13.80372,17.26017,17.47538,30
0.0810992,0,1,0,0,0,0,0,0,0.1291,0,1,0,0,0,0,5,10.91716,-0.1744444,81.77,1.410401,7,3,88.5529,34.68961,88.34982,23.91714,43.81449,1.052243,30.36258,6.186255,7.011244,107.8375,2.619673,16.27816,14.93771,90.49857
0.0491816,1,0,0,1,0,0,0,0,0.3349,1,0,0,0,0,0,10,17.38639,1.804444,80.27,1.154937,6,7,138.2766,72.75324,95.65687,19.7699,20.90649,5.907093,26.92462,2.745382,10.08617,137.7487,25.53497,34.84761,16.84566,42.535
0.5442325,0,1,0,0,0,0,0,0,0.2054,0,1,0,0,0,0,-7,10.61412,-0.7633333,73.53,2.557805,7.3,4,83.5574,15.59526,84.33945,54.33938,41.14957,52.45363,31.37515,11.01078,7.07574,131.2575,87.56813,23.5832,15.95612,49.995
0.042369,0,0,0,1,0,0,0,0,0.0925,1,0,1,0,0,0,3.4,5.289843,-0.7677777,35.58,1.871801,7,5,48.27976,7.215246,96.15417,17.28415,23.67091,4.655797,24.02988,0.7998494,6.079219,79.45595,0.6025059,16.18815,18.76389,9.5
0.084906,0,1,0,0,0,0,0,0,0.4666,0,1,0,0,0,0,-7,19.24603,-1.093333,68.05,3.171836,7,4,93.03078,66.5362,92.22702,60.98088,66.95815,2.465936,30.94675,2.004831,7.534439,99.51733,29.65268,20.33922,16.09178,86.98
0.0134836,0,0,0,0,0,0,0,0,0.5409,0,1,0,0,0,0,9.2,22.86769,1.721111,82.73,0.8484756,6,6,127.1079,61.75825,99.05019,78.31458,74.55752,0.0351881,21.25301,15.92417,10.08723,100.3889,6.490565,29.99291,16.17136,78.17
0.2930691,0,0,0,0,0,1,0,1,0.7905,0,0,0,1,0,0,6.5,13.19641,-0.4766667,60.78,1.224755,7,6,29.60642,6.520237,89.39639,14.0298,27.3693,1.943197,20.51365,1.839997,5.878436,93.26038,0.1081504,10.97185,15.86511,9.5
0.2003636,0,1,0,0,0,0,0,0,0.6056,1,0,1,0,0,0,-4.9,20.51504,0.3188889,47,1.387339,5.6,7,53.3069,5.283723,77.58292,41.74879,55.99666,11.07919,49.14156,1.362168,6.871261,127.847,31.2005,64.48294,13.40369,50.9
0.1503377,0,1,0,0,0,0,1,0,0.224,0,0,0,0,0,1,8,15.06765,-0.5233333,73.83,1.674242,6,6,83.3187,39.00859,95.77982,33.92779,30.99797,23.8294,14.96535,3.183692,6.974496,122.3956,40.35725,9.557185,16.03646,7.2642
0.5100689,0,1,0,1,0,0,0,0,0.411,1,0,0,1,0,0,8,20.8943,0.5911111,68.79,2.178665,5,7,77.7886,7.062608,84.55979,43.44327,36.4137,3.412131,28.23038,6.016437,8.263623,91.55681,0.159291,21.54551,14.45327,34.06
0.0162418,0,0,0,0,0,0,0,1,0.0468,0,0,0,0,0,1,8,20.17532,-0.0044444,65.24,1.962836,7,4,106.2655,21.90944,94.52361,13.60649,12.20511,5.153785,17.71731,2.447409,8.288206,104.6304,6.880349,13.5754,19.04402,12.53333
0.0189503,0,0,0,0,0,0,0,0,0.3031,0,1,0,0,0,0,9,17.86582,0.0777778,72.08,1.9229,7.8,4,90.06445,46.54875,96.85076,52.13311,64.42787,1.687883,26.94239,13.1506,7.685536,103.9379,10.89338,26.0551,15.86107,98.5
0.4329621,0,1,0,0,0,1,0,0,0.7228,0,0,0,1,0,0,0,22.41761,-0.62,64.81,1.252577,7,6,14.36808,2.249557,45.69336,9.816216,23.70445,4.083062,16.79759,1.245149,5.530281,96.44641,0.0270408,10.14903,16.48759,4.17
0.305573,0,1,0,0,0,0,0,0,0.2977,0,0,0,1,0,0,4.6,22.6397,-1.226667,59.68,2.241579,7,6,16.00261,2.32283,73.0704,6.497108,30.16106,15.58889,12.41117,0.0393781,4.854341,111.8062,1.506882,5.448206,15.81651,10.44
0.0969909,0,0,0,0,0,1,0,0,0.2104,0,0,0,1,0,0,2,5.189065,-0.8844444,59.3,1.889289,6,6,35.01432,4.00909,93.05367,59.49965,66.79305,2.180114,19.06682,5.416338,6.058023,89.75764,0.0008708,8.753671,16.41225,6.29
0.2274683,0,0,0,0,0,1,0,0,0.8898,0,0,0,1,0,0,-4,9.913515,-0.8111111,54.71,0.9886733,7,6,33.10457,6.828513,93.20198,23.50258,24.63158,10.15657,18.58696,1.46429,6.534595,122.8899,52.76738,7.246426,16.69348,14.25667
0.2372151,0,1,0,0,0,1,0,0,0.8334,0,0,0,1,0,0,0.2,9.39019,-1.508889,49.76667,1.22334,7,6,12.57334,1.963962,60.62532,13.96868,21.18179,5.858121,8.788731,2.503211,5.426954,91.79021,0.1008469,6.021767,15.21822,6.8
