internet,male,age,age2,log_expense,Edu_years,caucasian,employed,tvcable,bussines,studying,children,numpeople,single,strat2,strat3,strat4,strat5,strat6
1,0,38,1444,7.362114482,17,1,1,1,0,0,0,2,0,0,0,0,1,0
1,0,43,1849,6.109351466,20,0,1,1,0,0,0,2,0,0,0,0,1,0
1,0,58,3364,7.207963792,12,0,1,1,0,1,0,4,0,0,0,0,0,1
1,1,45,2025,7.02564222,12,1,1,1,0,1,1,4,0,0,0,0,0,1
0,0,40,1600,5.598525842,0,0,1,0,0,1,1,3,0,0,1,0,0,0
1,0,60,3600,7.02564222,12,1,0,1,0,1,0,3,0,0,0,0,1,0
1,1,63,3969,6.514816582,17,1,1,1,0,1,0,2,1,0,0,0,1,0
1,0,57,3249,6.109351466,20,0,1,1,0,0,0,6,0,0,0,0,1,0
1,1,56,3136,5.19306079,12,0,0,1,0,0,0,3,1,0,0,0,1,0
1,0,55,3025,5.416204308,6,0,1,1,0,1,0,4,0,0,0,0,0,1
1,0,45,2025,7.207963792,17,1,1,1,0,1,2,4,0,0,0,0,0,1
0,1,81,6561,6.802498658,12,1,0,1,0,0,0,2,1,0,0,0,0,1
1,0,57,3249,7.02564222,17,0,1,1,0,1,0,5,0,0,0,0,0,1
0,1,54,2916,6.802498658,20,1,0,1,0,0,0,1,1,0,0,0,0,1
1,0,60,3600,7.207963792,17,1,0,1,0,0,0,2,0,0,0,0,0,1
0,0,40,1600,5.19306079,0,1,1,0,0,1,1,4,0,0,0,0,0,0
0,1,40,1600,5.375382337,12,0,1,0,0,0,0,3,1,0,1,0,0,0
1,0,57,3249,5.19306079,0,0,1,1,0,0,0,3,0,1,0,0,0,0
0,0,41,1681,5.19306079,6,0,1,0,0,1,1,4,0,1,0,0,0,0
0,0,59,3481,5.059529389,12,0,1,0,0,1,1,3,0,1,0,0,0,0
0,0,25,625,5.752676602,0,0,1,0,0,0,1,8,0,1,0,0,0,0
0,0,48,2304,5.598525842,6,0,1,1,0,1,4,6,0,1,0,0,0,0
0,1,41,1681,4.905378625,0,0,0,0,0,1,2,6,1,1,0,0,0,0
0,1,69,4761,4.723057127,6,1,0,1,0,0,0,4,1,1,0,0,0,0
0,0,48,2304,6.291673005,6,0,1,1,0,1,2,6,0,0,1,0,0,0
0,0,34,1156,5.752676602,12,1,1,1,0,1,2,4,0,0,1,0,0,0
0,1,51,2601,4.905378625,17,1,1,1,0,1,1,3,1,1,0,0,0,0
1,1,62,3844,5.886207943,6,0,0,1,0,0,0,3,0,0,1,0,0,0
0,0,43,1849,6.109351466,12,0,1,1,0,1,3,5,0,0,1,0,0,0
0,0,62,3844,5.354328965,0,1,0,0,0,0,0,1,1,0,1,0,0,0
0,1,44,1936,5.288370965,12,0,0,1,0,0,0,1,1,0,1,0,0,0
0,0,35,1225,5.886207943,6,1,1,1,0,0,1,3,0,0,1,0,0,0
0,1,29,841,4.499913598,6,0,0,0,0,0,2,3,1,1,0,0,0,0
