Ln market value ,Performance,Age,Age square,National team participation,Goals,Goals square,Experience,Experience square,Assists,Concacaf,Conmebol,Afc,Uefa,Premier league ,Serie A,Liga 1,Coach,Matches,Height,Substitute ,Ln Attention public ,Under-21 but not senior,Appearances UEFA Champions,Recognition under-21,Team experience ,Change of team
16.90655301,7,24,576,1,0,0,10.00821918,100.1644511,0,0,0,0,1,0,0,0,38,43,1.87,31,13.46168868,0,1,1,5,0
15.83041358,9,27,729,1,27,729,16.0109589,256.350805,0,0,0,0,1,0,0,0,38,84,1.77,8,12.89169156,0,1,0,2,0
16.70588232,33,23,529,1,27,729,7.005479452,49.07674235,4,0,0,0,1,0,0,0,38,90,1.76,3,12.93120287,0,1,1,2,1
16.52356076,6,24,576,1,34,1156,8.005479452,64.08770126,1,0,1,0,0,0,0,0,38,80,1.74,4,15.87091552,0,1,0,3,0
16.70588232,34,30,900,1,0,0,12.00821918,144.1973278,0,1,0,0,0,0,0,0,18,114,1.85,0,12.98768847,0,1,0,5,0
17.03438638,25,22,484,1,18,324,16.84109589,283.6225108,0,0,0,0,1,0,0,0,18,52,1.78,10,13.10216067,0,1,1,3,0
17.50439001,31,31,961,1,26,676,14.50684932,210.4486771,1,0,1,0,0,0,0,0,38,308,1.87,1,13.27250604,0,1,0,5,0
17.21670794,12,26,676,1,8,64,8.005479452,64.08770126,0,0,0,0,1,0,0,0,38,44,1.87,17,12.98310131,0,1,1,5,0
17.82284374,35,25,625,1,28,784,9.005479452,81.09866016,5,0,0,0,1,0,0,0,38,22,1.77,0,16.08660498,0,1,1,5,0
16.01273514,29,29,841,0,43,1849,10.00821918,100.1644511,7,0,0,0,1,0,0,0,38,209,1.95,7,12.91656846,0,1,0,5,0
14.73180129,27,33,1089,1,41,1681,15.0109589,225.3288872,1,0,0,0,1,0,0,0,38,130,1.71,1,12.23076526,0,1,1,4,0
16.52356076,0,26,676,0,90,8100,8.005479452,64.08770126,0,0,0,0,1,0,0,0,38,31,1.7,0,12.71589777,0,1,1,5,0
14.91412285,17,26,676,0,0,0,5.002739726,25.02740477,0,0,0,0,1,0,0,0,13,20,1.87,10,12.91164235,0,1,0,1,0
16.52356076,0,26,676,1,17,289,8.501369863,72.27328955,0,0,0,0,1,0,0,0,13,30,1.87,0,12.92147044,0,1,1,2,0
12.61153775,0,19,361,0,1,1,2.002739726,4.01096641,0,0,0,0,1,0,0,0,13,8,1.73,1,12.95984445,0,1,1,1,1
15.83041358,13,25,625,1,4,16,8.005479452,64.08770126,0,0,0,0,1,0,0,0,13,87,1.74,0,12.95748873,0,1,1,5,1
13.45883561,0,20,400,0,9,81,3.002739726,9.016445862,0,0,0,0,1,0,0,0,13,23,1.83,1,16.33320703,0,1,1,0,1
16.52356076,33,26,676,1,8,64,10.00821918,100.1644511,2,0,0,0,1,0,0,0,38,184,1.82,1,16.01384563,0,0,1,5,0
16.45456789,20,24,576,1,42,1764,9.005479452,81.09866016,2,0,0,0,1,0,0,0,38,242,1.69,0,12.8346813,0,0,1,5,0
16.81124283,25,22,484,1,45,2025,4.002739726,16.02192531,8,0,0,0,1,0,0,0,38,82,1.86,1,12.98079981,0,0,1,2,0
16.52356076,33,27,729,1,10,100,9.005479452,81.09866016,1,0,0,0,1,0,0,0,11,179,1.79,0,12.77422334,0,0,1,5,0
14.50865774,15,29,841,0,20,400,12.00821918,144.1973278,0,0,0,0,1,0,0,0,11,200,1.8,6,12.94800999,0,0,1,4,0
15.42494847,0,23,529,1,36,1296,8.005479452,64.08770126,0,0,0,0,1,0,0,0,11,120,1.72,0,14.25376549,0,0,0,4,1
14.22097567,26,26,676,0,2,4,9.005479452,81.09866016,0,0,0,0,1,0,0,0,17,49,1.75,12,12.86099861,0,0,1,2,0
15.60727003,33,30,900,1,17,289,11.50410959,132.3445374,2,0,1,0,0,0,0,0,17,88,1.85,0,17.15837236,0,0,0,2,0
13.99783211,0,22,484,1,19,361,5.002739726,25.02740477,0,0,0,0,1,0,0,0,17,7,1.75,0,11.04771035,0,0,1,0,0
