year,quarter,ttr,gs,gdp
1948,1,-10.54110295,-10.77832023,-8.430701549
1948,2,-10.62303513,-10.7433213,-8.416226993
1948,3,-10.66476617,-10.73157484,-8.413832471
1948,4,-10.66603277,-10.69352591,-8.414205879
1949,1,-10.67253564,-10.63886243,-8.429933253
1949,2,-10.68916676,-10.59865275,-8.435477102
1949,3,-10.71946016,-10.61954925,-8.42817051
1949,4,-10.76687548,-10.64573109,-8.439597773
1950,1,-10.70580666,-10.69167215,-8.403933564
1950,2,-10.65658511,-10.68389056,-8.376472875
1950,3,-10.59015807,-10.72500902,-8.340649238
1950,4,-10.52072417,-10.6279697,-8.319427546
1951,1,-10.45654694,-10.44127947,-8.302997431
1951,2,-10.43607156,-10.28335047,-8.284018698
1951,3,-10.40747053,-10.13138456,-8.263983607
1951,4,-10.36415662,-10.05660446,-8.263721398
1952,1,-10.32215983,-10.03063899,-8.254323839
1952,2,-10.29870623,-9.982006027,-8.253572433
1952,3,-10.30239588,-9.96410931,-8.249522385
1952,4,-10.28133292,-9.9419195,-8.22062241
1953,1,-10.27838713,-9.928045849,-8.211240828
1953,2,-10.27648846,-9.899772763,-8.205942641
1953,3,-10.29302149,-9.934303642,-8.213579946
1953,4,-10.31475871,-9.946714138,-8.232203521
1954,1,-10.37477981,-9.99448257,-8.240665271
1954,2,-10.38725622,-10.04416874,-8.242256904
1954,3,-10.39770145,-10.08472941,-8.23343168
1954,4,-10.3881085,-10.09386903,-8.217301952
1955,1,-10.35303475,-10.10992382,-8.192177819
1955,2,-10.32571921,-10.1160535,-8.179823512
1955,3,-10.31182738,-10.10828053,-8.169550495
1955,4,-10.30871696,-10.14211282,-8.166245713
1956,1,-10.29256721,-10.14820454,-8.172985728
1956,2,-10.28242332,-10.11665688,-8.167377836
1956,3,-10.27758732,-10.1431456,-8.171189973
1956,4,-10.25397601,-10.11252553,-8.157672143
1957,1,-10.2423275,-10.08817682,-8.153905783
1957,2,-10.24363,-10.10394213,-8.159090742
1957,3,-10.24623124,-10.10008934,-8.152718268
1957,4,-10.26611334,-10.08150345,-8.166894438
1958,1,-10.29752794,-10.11433264,-8.196682491
1958,2,-10.31178128,-10.07985805,-8.192576509
1958,3,-10.29798179,-10.08314854,-8.172627787
1958,4,-10.29116642,-10.06429468,-8.153199727
1959,1,-10.24111196,-10.09086709,-8.138074601
1959,2,-10.21946064,-10.07969869,-8.119336034
1959,3,-10.21446902,-10.0749755,-8.122376363
1959,4,-10.20624084,-10.09150195,-8.122628674
1960,1,-10.14799884,-10.14093167,-8.107239152
1960,2,-10.1462714,-10.14486394,-8.115347172
1960,3,-10.14586794,-10.10880124,-8.113679287
1960,4,-10.15935927,-10.10055901,-8.130099701
1961,1,-10.159566,-10.10638373,-8.127078071
1961,2,-10.15533716,-10.10002975,-8.1135226
1961,3,-10.15405033,-10.0810252,-8.097422144
1961,4,-10.14101032,-10.06294729,-8.079661092
1962,1,-10.10663999,-10.02799686,-8.063566088
1962,2,-10.09140184,-10.02376697,-8.05817744
1962,3,-10.07541024,-9.996516302,-8.050606153
1962,4,-10.06828722,-9.997335481,-8.052894121
1963,1,-10.04615031,-10.02267506,-8.046887573
1963,2,-10.04394359,-10.03339868,-8.040015376
1963,3,-10.04466415,-9.992140666,-8.022518956
1963,4,-10.04763526,-10.00667391,-8.020190241
1964,1,-10.072571,-10.0095851,-8.003526108
1964,2,-10.12356659,-10.01586025,-7.996601207
1964,3,-10.10624465,-10.01642598,-7.985499306
1964,4,-10.09136073,-10.03420231,-7.98679625
1965,1,-10.05006861,-10.04895066,-7.966998308
1965,2,-10.04981857,-10.05092783,-7.958529528
1965,3,-10.07942696,-10.01043408,-7.939894481
1965,4,-10.06941264,-9.977137361,-7.920367299
1966,1,-9.991285127,-9.961192586,-7.899069112
1966,2,-9.955505126,-9.94487187,-7.898420491
1966,3,-9.940189422,-9.90216908,-7.892923525
1966,4,-9.923532562,-9.901713514,-7.887650175
1967,1,-9.911889432,-9.850681519,-7.882128893
1967,2,-9.911715392,-9.8594842,-7.885261821
1967,3,-9.897978813,-9.847989583,-7.880819434
1967,4,-9.891258629,-9.845588593,-7.877886091
1968,1,-9.870283296,-9.834852859,-7.861519299
1968,2,-9.85192054,-9.842441796,-7.848404861
1968,3,-9.782043501,-9.846095522,-7.844720691
1968,4,-9.771324481,-9.855569249,-7.845561253
1969,1,-9.721570751,-9.871081051,-7.834501102
1969,2,-9.712042219,-9.886241511,-7.835521295
1969,3,-9.738096487,-9.877141139,-7.833179192
1969,4,-9.746649938,-9.905335773,-7.842990297
1970,1,-9.771683736,-9.912486532,-7.849649145
1970,2,-9.781132334,-9.945205442,-7.85351
1970,3,-9.824394641,-9.954521453,-7.850000519
1970,4,-9.840051928,-9.965215071,-7.866668803
1971,1,-9.850185099,-9.987366985,-7.845405086
1971,2,-9.859168813,-9.998639347,-7.845734919
1971,3,-9.864514179,-10.00466081,-7.843051524
1971,4,-9.862587961,-10.02529247,-7.846381899
1972,1,-9.783694573,-10.00315384,-7.839489454
1972,2,-9.778820357,-9.995004938,-7.822272654
1972,3,-9.785282841,-10.04797957,-7.818151114
1972,4,-9.782984158,-10.04122873,-7.806356435
1973,1,-9.731355936,-10.02872455,-7.787041609
1973,2,-9.732698117,-10.04847996,-7.781398266
1973,3,-9.731078655,-10.088724,-7.791841685
1973,4,-9.722952359,-10.09020799,-7.787419662
1974,1,-9.707203452,-10.08005336,-7.801192125
1974,2,-9.703689875,-10.09419535,-7.80388673
1974,3,-9.70916638,-10.0932066,-7.818436193
1974,4,-9.732601619,-10.08448613,-7.827300902
1975,1,-9.756147535,-10.10466354,-7.844421471
1975,2,-9.937475267,-10.1194032,-7.841984563
1975,3,-9.803002806,-10.10380121,-7.830721539
1975,4,-9.793890477,-10.09898098,-7.822281136
1976,1,-9.782228432,-10.10985105,-7.804791052
1976,2,-9.766648524,-10.11942547,-7.801992253
1976,3,-9.754725777,-10.12403021,-7.801313797
1976,4,-9.750729159,-10.1179685,-7.79854387
1977,1,-9.73247153,-10.11747468,-7.791177082
1977,2,-9.720465208,-10.11226268,-7.776595876
1977,3,-9.722609568,-10.11427677,-7.763585723
1977,4,-9.712602931,-10.11855265,-7.76803181
1978,1,-9.698896966,-10.12521591,-7.769108209
1978,2,-9.673348042,-10.10996643,-7.73555378
1978,3,-9.645939754,-10.10814629,-7.730093761
1978,4,-9.627016326,-10.10771758,-7.721422573
1979,1,-9.614363326,-10.11329283,-7.724106461
1979,2,-9.609781999,-10.11655903,-7.727271254
1979,3,-9.601342842,-10.11740708,-7.724410569
1979,4,-9.592360446,-10.11823472,-7.727071758
1980,1,-9.605856209,-10.09703392,-7.728212212
1980,2,-9.601674393,-10.06714698,-7.752912105
1980,3,-9.595953343,-10.09482809,-7.758238826
1980,4,-9.578718967,-10.08947461,-7.743210865
1981,1,-9.524449114,-10.07982598,-7.727297758
1981,2,-9.518062424,-10.05446392,-7.738028409
1981,3,-9.513630756,-10.05901304,-7.729509343
