id,IndSocio1,IndSocio2,IndSocio3,Altitude,HouseholdMem,Nrooms,Children,Lnincome,Water,Electricity,Gas,LnPriceWater,LnPriceElect,LnPriceGas
1,1,0,0,1,2,2,0,8.0233698,17,91,20.459999,-0.22760549,-1.8612965,-0.73570436
2,1,0,0,1,1,1,0,7.3285542,3,47,17.16,-0.22760549,-1.8612965,-0.73570436
3,1,0,0,1,1,2,0,5.027637,4,49,5.0599999,-0.22760549,-1.8612965,-0.73570436
4,1,0,0,1,3,3,1,6.1262493,52,196,7.6999998,-0.22760549,-1.8612965,-0.73570436
5,1,0,0,1,1,5,0,6.4139314,14,196,11.22,-0.22760549,-1.8612965,-0.73570436
6,1,0,0,1,3,4,0,5.8160944,15,139,17.6,-0.51606953,-1.8052335,-0.95792496
7,1,0,0,1,3,5,1,9.0116711,18,130,21.559999,-0.51606953,-1.8052335,-0.95792496
8,1,0,0,1,2,5,0,4.7399549,8,108,13.42,-0.51606953,-1.8052335,-0.95792496
9,1,0,0,1,3,5,1,7.8850646,6,186,9.46,-0.51606953,-1.8052335,-0.95792496
10,1,0,0,1,5,5,1,8.0932837,28,204,35.860001,-0.51606953,-1.8052335,-0.95792496
11,1,0,0,1,2,5,1,8.1064844,8,130,28.6,-0.51606953,-1.8052335,-0.95792496
12,1,0,0,1,4,5,1,7.6258726,8,223,47.740002,-0.51606953,-1.8052335,-0.95792496
13,1,0,0,1,4,5,1,6.5695095,15,223,13.42,-0.51606953,-1.8052335,-0.95792496
14,1,0,0,1,1,5,0,7.4255323,4,130,4.8400002,-0.51606953,-1.8052335,-0.95792496
15,1,0,0,0,2,3,0,7.5731683,4,177,0,-0.27016044,-1.8607079,-0.83546948
16,1,0,0,0,1,2,0,4.5968542,8,59,0,-0.27016044,-1.8607079,-0.83546948
17,1,0,0,0,2,4,0,6.8467956,6,392,0,-0.27016044,-1.8607079,-0.83546948
18,1,0,0,0,1,5,0,7.5925865,8,235,0,-0.27016044,-1.8607079,-0.83546948
19,1,0,0,0,1,2,0,6.1367497,5,392,0,-0.27016044,-1.8607079,-0.83546948
20,1,0,0,0,3,5,1,7.1070786,4,192,13.86,-0.27016044,-1.8607079,-0.83546948
21,1,0,0,1,4,3,1,6.6349607,17,135,22,-0.37719712,-1.8040836,-0.51336354
22,1,0,0,1,2,5,0,6.3085709,28,108,15.4,-0.37719712,-1.8040836,-0.51336354
23,1,0,0,1,3,3,1,6.6222134,15,195,18.92,-0.37719712,-1.8040836,-0.51336354
24,1,0,0,1,5,3,1,6.6172338,30,449,20.02,-0.70193106,-1.801492,-0.59696466
25,0,1,0,1,2,4,0,6.5811391,6,154,8.3599997,-0.29646596,-1.6191703,-0.41464302
26,1,0,0,1,3,4,1,6.72019,21,39,20.9,-0.70193106,-1.801492,-0.59696466
27,1,0,0,1,3,3,1,7.6013227,6,213,7.48,-0.70193106,-1.801492,-0.59696466
28,0,1,0,1,1,3,0,5.9702449,0,254,11.44,-0.29646596,-1.6191703,-0.41464302
29,1,0,0,1,4,4,1,6.5225987,10,85,18.700001,-0.70193106,-1.801492,-0.59696466
30,1,0,0,1,3,4,1,0.82793194,23,177,16.719999,-0.70193106,-1.801492,-0.59696466
31,0,1,0,1,3,4,1,6.3085709,3,223,27.719999,-0.29646596,-1.6191703,-0.41464302
32,1,0,0,1,1,3,0,6.1668577,5,60,9.6800003,-0.70193106,-1.801492,-0.59696466
33,1,0,0,1,3,4,0,6.4609742,13,117,0,-0.70193106,-1.801492,-0.59696466
34,1,0,0,1,1,6,0,5.1229472,5,148,5.5,-0.70193106,-1.801492,-0.59696466
35,1,0,0,1,1,3,0,6.0059633,11,195,0,-0.70193106,-1.801492,-0.59696466
36,1,0,0,1,3,2,1,5.9031057,4,309,19.360001,-0.70193106,-1.801492,-0.59696466
37,0,0,1,0,3,3,1,8.6625881,11,225,21.120001,0.14252883,-1.6197991,-0.24923204
38,0,0,1,0,1,3,0,6.6698647,29,140,5.9400001,0.14252883,-1.6197991,-0.24923204
39,1,0,0,0,5,5,1,7.8309975,23,370,11.66,-0.33370528,-1.8021207,-0.43155354
40,1,0,0,0,1,5,0,6.6762958,12,92,5.7199998,-0.33370528,-1.8021207,-0.43155354
41,1,0,0,0,4,5,1,8.1936741,40,222,9.46,-0.33370528,-1.8021207,-0.43155354
42,1,0,0,0,4,4,1,7.3924141,32,351,12.32,-0.33370528,-1.8021207,-0.43155354
43,1,0,0,0,4,6,1,8.5363426,23,314,14.08,-0.33370528,-1.8021207,-0.43155354
44,1,0,0,0,5,5,1,7.478642,14,355,27.5,-0.62701249,-1.9243628,-0.76104993
45,1,0,0,1,2,2,0,8.8862591,6,177,6.3800001,-0.22760549,-1.8612965,-0.73570436
46,1,0,0,1,1,3,0,7.2683468,4,186,28.6,-0.22760549,-1.8612965,-0.73570436
47,1,0,0,1,2,3,1,7.0390673,22,157,25.52,-0.22760549,-1.8612965,-0.73570436
48,1,0,0,1,2,3,0,8.4204664,10,88,12.76,-0.22760549,-1.8612965,-0.73570436
49,1,0,0,1,2,2,0,8.2989788,12,122,11.44,-0.22760549,-1.8612965,-0.73570436
50,1,0,0,1,2,3,0,8.658534,12,306,31.9,-0.22760549,-1.8612965,-0.73570436
51,1,0,0,1,2,3,0,7.7086587,12,98,12.76,-0.22760549,-1.8612965,-0.73570436
52,1,0,0,1,1,5,0,4.8044934,12,265,0,-0.22760549,-1.8612965,-0.73570436
53,1,0,0,1,3,3,0,8.5593748,6,133,23.540001,-0.22760549,-1.8612965,-0.73570436
54,1,0,0,1,2,5,0,7.5394559,10,137,19.139999,-0.22760549,-1.8612965,-0.73570436
55,1,0,0,0,1,4,0,7.5125437,39,138,1.1,-0.90201777,-1.7544729,-0.29825708
56,1,0,0,0,7,4,1,6.0021968,0,0,0,-0.27016044,-1.8607079,-0.83546948
57,1,0,0,0,4,3,1,7.5148745,0,0,0,-0.27016044,-1.8607079,-0.83546948
58,1,0,0,0,3,3,1,6.9954486,0,0,0,-0.27016044,-1.8607079,-0.83546948
59,1,0,0,1,1,3,0,5.6154237,7,111,0,-0.70193106,-1.801492,-0.59696466
60,1,0,0,1,1,3,0,6.8413754,19,117,0,-0.70193106,-1.801492,-0.59696466
61,1,0,0,1,1,3,0,6.8193965,7,128,4.4000001,-0.70193106,-1.801492,-0.59696466
62,1,0,0,1,3,6,1,7.2524586,25,139,20.68,-0.70193106,-1.801492,-0.59696466
63,1,0,0,1,2,3,0,7.275414,11,84,15.84,-0.70193106,-1.801492,-0.59696466
64,1,0,0,0,4,5,1,7.1070786,14,178,12.76,-0.33370528,-1.8021207,-0.43155354
65,1,0,0,0,5,4,1,5.806962,28,255,20.68,-0.33370528,-1.8021207,-0.43155354
66,1,0,0,0,2,4,0,7.1070786,24,230,9.46,-0.33370528,-1.8021207,-0.43155354
67,0,1,0,0,3,5,1,7.2267418,9,123,12.98,0.078404345,-1.6197991,-0.24923204
68,0,1,0,0,1,5,0,7.001718,5,231,0,0.078404345,-1.6197991,-0.24923204
69,1,0,0,0,4,4,1,6.4345508,8,370,26.84,-0.33370528,-1.8021207,-0.43155354
70,0,1,0,0,3,5,1,7.9703202,14,165,8.1400003,0.078404345,-1.6197991,-0.24923204
71,0,1,0,0,3,5,0,7.0463624,10,111,5.9400001,0.078404345,-1.6197991,-0.24923204
72,1,0,0,0,4,4,1,7.1348152,10,166,14.96,-0.33370528,-1.8021207,-0.43155354
73,1,0,0,0,2,4,0,7.5125437,10,166,7.04,-0.33370528,-1.8021207,-0.43155354
74,1,0,0,0,2,4,0,6.3493929,10,177,14.74,-0.33370528,-1.8021207,-0.43155354
