LnElectricity,LnWater,LnGas,Constant,LnPriceElect,LnPriceWater,LnPriceGas,IndSocio1,IndSocio2,Altitude,Nrooms,HouseholdMem,Lnincome,Constant,LnPriceWater,LnPriceElect,LnPriceGas,IndSocio1,IndSocio2,Nrooms,HouseholdMem,Constant,LnPriceWater,LnPriceElect,LnPriceGas,IndSocio1,IndSocio2,Altitude,Nrooms,HouseholdMem
4.510859507,2.833213344,3.018471712,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,2,2,8.0233698,1,-0.22760549,-1.8612965,-0.73570436,1,0,2,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,2,2
3.850147602,1.098612289,2.842581094,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,1,1,7.3285542,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,1,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,1,1
3.891820298,1.386294361,1.621366464,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,2,1,5.027637,1,-0.22760549,-1.8612965,-0.73570436,1,0,2,1,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,2,1
5.278114659,3.951243719,2.041220303,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,3,6.1262493,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,3,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,3
5.278114659,2.63905733,2.4176979,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,5,1,6.4139314,1,-0.22760549,-1.8612965,-0.73570436,1,0,5,1,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,5,1
4.934473933,2.708050201,2.867898902,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,4,3,5.8160944,1,-0.51606953,-1.8052335,-0.95792496,1,0,4,3,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,4,3
4.86753445,2.890371758,3.0708397,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,3,9.0116711,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,3,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,3
4.682131227,2.079441542,2.596746132,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,2,4.7399549,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,2,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,2
5.225746674,1.791759469,2.247072383,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,3,7.8850646,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,3,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,3
5.318119994,3.33220451,3.579622496,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,5,8.0932837,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,5,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,5
4.86753445,2.079441542,3.353406718,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,2,8.1064844,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,2,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,2
5.407171771,2.079441542,3.865769663,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,4,7.6258726,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,4,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,4
5.407171771,2.708050201,2.596746132,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,4,6.5695095,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,4,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,4
4.86753445,1.386294361,1.576914762,1,-1.8052335,-0.51606953,-0.95792496,1,0,1,5,1,7.4255323,1,-0.51606953,-1.8052335,-0.95792496,1,0,5,1,1,-0.51606953,-1.8052335,-0.95792496,1,0,1,5,1
5.257495372,1.386294361,2.629006994,1,-1.8607079,-0.27016044,-0.83546948,1,0,0,5,3,7.1070786,1,-0.27016044,-1.8607079,-0.83546948,1,0,5,3,1,-0.27016044,-1.8607079,-0.83546948,1,0,0,5,3
4.905274778,2.833213344,3.091042453,1,-1.8040836,-0.37719712,-0.51336354,1,0,1,3,4,6.6349607,1,-0.37719712,-1.8040836,-0.51336354,1,0,3,4,1,-0.37719712,-1.8040836,-0.51336354,1,0,1,3,4
4.682131227,3.33220451,2.734367509,1,-1.8040836,-0.37719712,-0.51336354,1,0,1,5,2,6.3085709,1,-0.37719712,-1.8040836,-0.51336354,1,0,5,2,1,-0.37719712,-1.8040836,-0.51336354,1,0,1,5,2
5.272999559,2.708050201,2.940219564,1,-1.8040836,-0.37719712,-0.51336354,1,0,1,3,3,6.6222134,1,-0.37719712,-1.8040836,-0.51336354,1,0,3,3,1,-0.37719712,-1.8040836,-0.51336354,1,0,1,3,3
6.107022888,3.401197382,2.996731774,1,-1.801492,-0.70193106,-0.59696466,1,0,1,3,5,6.6172338,1,-0.70193106,-1.801492,-0.59696466,1,0,3,5,1,-0.70193106,-1.801492,-0.59696466,1,0,1,3,5
5.036952602,1.791759469,2.123458391,1,-1.6191703,-0.29646596,-0.41464302,0,1,1,4,2,6.5811391,1,-0.29646596,-1.6191703,-0.41464302,0,1,4,2,1,-0.29646596,-1.6191703,-0.41464302,0,1,1,4,2
3.663561646,3.044522438,3.039749159,1,-1.801492,-0.70193106,-0.59696466,1,0,1,4,3,6.72019,1,-0.70193106,-1.801492,-0.59696466,1,0,4,3,1,-0.70193106,-1.801492,-0.59696466,1,0,1,4,3
5.361292166,1.791759469,2.012232792,1,-1.801492,-0.70193106,-0.59696466,1,0,1,3,3,7.6013227,1,-0.70193106,-1.801492,-0.59696466,1,0,3,3,1,-0.70193106,-1.801492,-0.59696466,1,0,1,3,3
4.442651256,2.302585093,2.928523577,1,-1.801492,-0.70193106,-0.59696466,1,0,1,4,4,6.5225987,1,-0.70193106,-1.801492,-0.59696466,1,0,4,4,1,-0.70193106,-1.801492,-0.59696466,1,0,1,4,4
5.176149733,3.135494216,2.816605548,1,-1.801492,-0.70193106,-0.59696466,1,0,1,4,3,0.82793194,1,-0.70193106,-1.801492,-0.59696466,1,0,4,3,1,-0.70193106,-1.801492,-0.59696466,1,0,1,4,3
5.407171771,1.098612289,3.322154138,1,-1.6191703,-0.29646596,-0.41464302,0,1,1,4,3,6.3085709,1,-0.29646596,-1.6191703,-0.41464302,0,1,4,3,1,-0.29646596,-1.6191703,-0.41464302,0,1,1,4,3
4.094344562,1.609437912,2.270061932,1,-1.801492,-0.70193106,-0.59696466,1,0,1,3,1,6.1668577,1,-0.70193106,-1.801492,-0.59696466,1,0,3,1,1,-0.70193106,-1.801492,-0.59696466,1,0,1,3,1
4.997212274,1.609437912,1.704748092,1,-1.801492,-0.70193106,-0.59696466,1,0,1,6,1,5.1229472,1,-0.70193106,-1.801492,-0.59696466,1,0,6,1,1,-0.70193106,-1.801492,-0.59696466,1,0,1,6,1
5.733341277,1.386294361,2.963209134,1,-1.801492,-0.70193106,-0.59696466,1,0,1,2,3,5.9031057,1,-0.70193106,-1.801492,-0.59696466,1,0,2,3,1,-0.70193106,-1.801492,-0.59696466,1,0,1,2,3
5.416100402,2.397895273,3.050220506,1,-1.6197991,0.14252883,-0.24923204,0,0,0,3,3,8.6625881,1,0.14252883,-1.6197991,-0.24923204,0,0,3,3,1,0.14252883,-1.6197991,-0.24923204,0,0,0,3,3
4.941642423,3.36729583,1.78170915,1,-1.6197991,0.14252883,-0.24923204,0,0,0,3,1,6.6698647,1,0.14252883,-1.6197991,-0.24923204,0,0,3,1,1,0.14252883,-1.6197991,-0.24923204,0,0,0,3,1
5.913503006,3.135494216,2.456164181,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,5,5,7.8309975,1,-0.33370528,-1.8021207,-0.43155354,1,0,5,5,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,5,5
4.521788577,2.48490665,1.74396877,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,5,1,6.6762958,1,-0.33370528,-1.8021207,-0.43155354,1,0,5,1,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,5,1
5.402677382,3.688879454,2.247072383,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,5,4,8.1936741,1,-0.33370528,-1.8021207,-0.43155354,1,0,5,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,5,4
5.860786223,3.465735903,2.511223958,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,4,7.3924141,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,4
5.749392986,3.135494216,2.644755351,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,6,4,8.5363426,1,-0.33370528,-1.8021207,-0.43155354,1,0,6,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,6,4
5.872117789,2.63905733,3.314186005,1,-1.9243628,-0.62701249,-0.76104993,1,0,0,5,5,7.478642,1,-0.62701249,-1.9243628,-0.76104993,1,0,5,5,1,-0.62701249,-1.9243628,-0.76104993,1,0,0,5,5
5.176149733,1.791759469,1.853168113,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,2,2,8.8862591,1,-0.22760549,-1.8612965,-0.73570436,1,0,2,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,2,2
5.225746674,1.386294361,3.353406718,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,1,7.2683468,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,1,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,1
5.056245805,3.091042453,3.239462458,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,2,7.0390673,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,2
4.477336814,2.302585093,2.546315278,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,2,8.4204664,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,2
4.804021045,2.48490665,2.437115986,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,2,2,8.2989788,1,-0.22760549,-1.8612965,-0.73570436,1,0,2,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,2,2
5.723585102,2.48490665,3.46260601,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,2,8.658534,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,2
4.584967479,2.48490665,2.546315278,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,2,7.7086587,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,2
4.890349128,1.791759469,3.158701144,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,3,8.5593748,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,3,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,3
4.919980926,2.302585093,2.951780334,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,5,2,7.5394559,1,-0.22760549,-1.8612965,-0.73570436,1,0,5,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,5,2
4.927253685,3.663561646,0.09531018,1,-1.7544729,-0.90201777,-0.29825708,1,0,0,4,1,7.5125437,1,-0.90201777,-1.7544729,-0.29825708,1,0,4,1,1,-0.90201777,-1.7544729,-0.29825708,1,0,0,4,1
4.852030264,1.945910149,1.481604564,1,-1.801492,-0.70193106,-0.59696466,1,0,1,3,1,6.8193965,1,-0.70193106,-1.801492,-0.59696466,1,0,3,1,1,-0.70193106,-1.801492,-0.59696466,1,0,1,3,1
4.934473933,3.218875825,3.02916705,1,-1.801492,-0.70193106,-0.59696466,1,0,1,6,3,7.2524586,1,-0.70193106,-1.801492,-0.59696466,1,0,6,3,1,-0.70193106,-1.801492,-0.59696466,1,0,1,6,3
4.430816799,2.397895273,2.762538386,1,-1.801492,-0.70193106,-0.59696466,1,0,1,3,2,7.275414,1,-0.70193106,-1.801492,-0.59696466,1,0,3,2,1,-0.70193106,-1.801492,-0.59696466,1,0,1,3,2
5.18178355,2.63905733,2.546315278,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,5,4,7.1070786,1,-0.33370528,-1.8021207,-0.43155354,1,0,5,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,5,4
5.541263545,3.33220451,3.02916705,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,5,5.806962,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,5,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,5
5.438079309,3.17805383,2.247072383,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,2,7.1070786,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,2,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,2
4.812184355,2.197224577,2.563409711,1,-1.6197991,0.078404345,-0.24923204,0,1,0,5,3,7.2267418,1,0.078404345,-1.6197991,-0.24923204,0,1,5,3,1,0.078404345,-1.6197991,-0.24923204,0,1,0,5,3
5.913503006,2.079441542,3.289893312,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,4,6.4345508,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,4
5.105945474,2.63905733,2.096790217,1,-1.6197991,0.078404345,-0.24923204,0,1,0,5,3,7.9703202,1,0.078404345,-1.6197991,-0.24923204,0,1,5,3,1,0.078404345,-1.6197991,-0.24923204,0,1,0,5,3
4.709530201,2.302585093,1.78170915,1,-1.6197991,0.078404345,-0.24923204,0,1,0,5,3,7.0463624,1,0.078404345,-1.6197991,-0.24923204,0,1,5,3,1,0.078404345,-1.6197991,-0.24923204,0,1,0,5,3
5.111987788,2.302585093,2.705379973,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,4,7.1348152,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,4
5.111987788,2.302585093,1.95160817,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,2,7.5125437,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,2,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,2
5.176149733,2.302585093,2.690564887,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,2,6.3493929,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,2,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,2
4.859812404,2.302585093,2.247072383,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,2,7.0845776,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,2,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,2
4.9698133,2.197224577,2.58021683,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,6,2,6.769506,1,-0.33370528,-1.8021207,-0.43155354,1,0,6,2,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,6,2
5.267858159,2.397895273,2.705379973,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,3,6.9096432,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,3,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,3
4.624972813,1.609437912,1.887069634,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,3,1,5.6754937,1,-0.33370528,-1.8021207,-0.43155354,1,0,3,1,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,3,1
5.187385806,1.609437912,2.904712875,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,4,6.9147067,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,4,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,4
4.65396035,1.098612289,1.982379856,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,5,1,5.3240309,1,-0.33370528,-1.8021207,-0.43155354,1,0,5,1,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,5,1
5.043425117,2.48490665,2.963209134,1,-1.8021207,-0.33370528,-0.43155354,1,0,0,4,3,6.3314552,1,-0.33370528,-1.8021207,-0.43155354,1,0,4,3,1,-0.33370528,-1.8021207,-0.43155354,1,0,0,4,3
5.117993812,1.791759469,3.353406718,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,5,4,7.0465322,1,-0.22760549,-1.8612965,-0.73570436,1,0,5,4,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,5,4
5.176149733,2.197224577,3.753730426,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,4,4,7.603653,1,-0.22760549,-1.8612965,-0.73570436,1,0,4,4,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,4,4
4.990432587,3.496507561,3.239462458,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,5,4,7.2248616,1,-0.22760549,-1.8612965,-0.73570436,1,0,5,4,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,5,4
5.056245805,3.17805383,3.535728275,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,4,4,8.7093239,1,-0.22760549,-1.8612965,-0.73570436,1,0,4,4,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,4,4
4.477336814,3.091042453,2.951780334,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,4,3,7.8194156,1,-0.22760549,-1.8612965,-0.73570436,1,0,4,3,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,4,3
5.683579767,2.302585093,2.437115986,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,5,2,7.7356873,1,-0.22760549,-1.8612965,-0.73570436,1,0,5,2,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,5,2
4.919980926,3.496507561,2.437115986,1,-1.8612965,-0.22760549,-0.73570436,1,0,1,3,3,7.5925865,1,-0.22760549,-1.8612965,-0.73570436,1,0,3,3,1,-0.22760549,-1.8612965,-0.73570436,1,0,1,3,3
