id,y,cte,x1o,x2o,xi
1,0,1,-0.794668292,-0.894310613,-1.182742126
1,1,1,0.170159976,-0.28997945,-1.182742126
2,1,1,-0.44638069,-1.030632733,-0.585629559
2,0,1,1.605796632,0.103914542,-0.585629559
3,0,1,2.106955132,0.123453058,-0.98455629
3,1,1,-0.414618085,0.697997629,-0.98455629
4,0,1,0.777965158,1.077924678,-1.764774612
4,0,1,0.145432203,1.041493918,-1.764774612
5,0,1,-0.529776783,1.197707041,-1.759756658
5,0,1,-0.253525744,1.154057224,-1.759756658
6,1,1,0.17068256,0.785199437,0.557514974
6,1,1,0.437818794,-1.244491813,0.557514974
7,0,1,0.990353625,-1.205049516,-0.013398688
7,1,1,-1.170558701,-1.634398248,-0.013398688
8,1,1,1.076087257,-0.514632443,0.147459301
8,1,1,0.008565408,-0.890593463,0.147459301
9,1,1,-0.801149245,0.065200532,2.591044459
9,1,1,-0.526247745,-1.087218519,2.591044459
10,0,1,0.200707073,1.509647175,-0.108652177
10,0,1,-0.2963745,-1.350750511,-0.108652177
11,1,1,-1.673341165,0.805867891,-0.879569169
11,0,1,1.533222838,0.345682583,-0.879569169
12,1,1,-0.311329482,-0.347981087,1.287415159
12,1,1,-2.433970227,-0.872976764,1.287415159
13,0,1,1.113007852,0.271985263,-0.049841481
13,1,1,1.079921232,-1.785272295,-0.049841481
14,1,1,-0.264598468,-0.826522252,-0.934759939
14,1,1,0.306508337,0.252081525,-0.934759939
15,1,1,0.480428809,-0.014517296,-0.591926788
15,1,1,-0.893376055,-1.024560753,-0.591926788
16,1,1,0.243731385,0.075431241,-0.417479802
16,1,1,-1.495800243,-2.030095015,-0.417479802
17,0,1,2.259099612,0.189747911,-0.750783016
17,0,1,2.10863385,1.736092644,-0.750783016
18,1,1,-1.797842926,0.28775714,1.109380356
18,1,1,0.458093056,0.364305189,1.109380356
19,1,1,-0.710345507,1.372632897,-1.586969856
19,0,1,0.764400329,-0.433826075,-1.586969856
20,0,1,0.840407646,-1.06021786,-0.076058129
20,0,1,1.822503537,1.611611195,-0.076058129
21,0,1,0.802828988,0.785648092,-0.343345981
21,1,1,-1.039223876,-0.810081258,-0.343345981
22,0,1,0.343897082,-0.009281903,1.964571105
22,1,1,-0.918112368,-0.539863909,1.964571105
23,1,1,-0.764621898,2.985233268,-1.76395749
23,1,1,-0.596796753,0.176317576,-1.76395749
24,0,1,2.548917569,0.627315505,-0.282734982
24,1,1,-0.896421648,0.508758864,-0.282734982
25,0,1,1.487453762,-0.37906859,0.197754354
25,1,1,0.369412605,-0.191334618,0.197754354
26,1,1,-0.597063754,0.094583393,-0.17043618
26,1,1,0.427137015,2.750632661,-0.17043618
27,0,1,1.863798113,0.404470192,0.070850974
27,1,1,-0.311714338,2.360154639,0.070850974
28,0,1,-0.209417895,-1.02892359,0.680940689
28,1,1,-0.387090394,0.692348681,0.680940689
29,1,1,-0.123940282,1.268991895,-0.56255974
29,1,1,-0.463290341,-2.128736605,-0.56255974
30,0,1,0.756886461,-0.678372159,-0.748775197
30,1,1,0.369459548,0.295691338,-0.748775197
31,0,1,-0.093426182,-0.487673034,0.107636913
31,0,1,2.194107689,0.97144593,0.107636913
32,1,1,-1.256337443,-0.39053295,0.420947901
32,1,1,1.332577306,1.13658289,0.420947901
33,0,1,1.372984702,1.397728424,-0.971675028
33,1,1,0.446614677,-1.715505106,-0.971675028
34,1,1,-2.315283235,-0.569947073,-1.207205442
34,1,1,-0.106334758,0.42733298,-1.207205442
35,1,1,-0.157367147,0.077588717,1.066845643
35,1,1,-0.095054091,-0.320827602,1.066845643
36,0,1,1.775397908,0.326114282,-1.360751779
36,1,1,-0.781964286,-0.583077794,-1.360751779
37,0,1,0.747825637,-0.715807083,-1.28586347
37,1,1,1.015224091,0.831419878,-1.28586347
38,1,1,-1.393942782,-0.818246913,1.703761496
38,1,1,0.328597806,-0.661199129,1.703761496
39,0,1,-1.095042713,-2.627225127,-0.707867154
39,1,1,-0.605223688,0.868054298,-0.707867154
40,1,1,0.801375564,0.110266648,0.160156107
40,1,1,-0.364116888,-1.224267502,0.160156107
41,0,1,0.353221861,-2.487486968,1.874879909
41,1,1,-0.752605301,-0.052998913,1.874879909
42,0,1,-0.342205174,0.081568938,0.49673211
42,0,1,1.105490675,0.434684884,0.49673211
43,1,1,-0.550211884,-0.086371716,0.713690659
43,1,1,1.337208676,1.790099609,0.713690659
44,1,1,-0.401693838,0.403211598,-0.12721841
44,1,1,0.258022549,-0.614493693,-0.12721841
45,1,1,-0.87926183,-0.487660663,0.472343545
45,1,1,-0.852389854,0.141953691,0.472343545
46,1,1,0.206996793,0.653281921,1.523314098
46,1,1,0.410922453,-0.692454341,1.523314098
47,0,1,1.156054098,-0.018249673,-1.021938646
47,0,1,0.687958299,-0.420985466,-1.021938646
48,1,1,-0.52106332,1.674639364,0.218528498
48,1,1,0.950439015,-0.377734234,0.218528498
49,0,1,0.311327947,-2.066578342,0.350577485
49,1,1,0.280345163,0.42032062,0.350577485
50,1,1,0.450093805,0.537940354,0.552342077
50,1,1,0.685689198,0.51467877,0.552342077
51,1,1,-0.547481834,-0.221461021,-0.243909035
51,1,1,-0.486214901,1.331615758,-0.243909035
52,1,1,-0.920435422,0.269281878,0.818267499
52,1,1,-0.106609989,-0.006110428,0.818267499
53,1,1,0.383824953,-0.282670332,-0.1798441
53,0,1,1.798738983,-1.92271158,-0.1798441
54,1,1,-0.644489164,-0.092330317,0.114995205
54,1,1,0.346377869,1.267114118,0.114995205
55,1,1,-0.884280072,0.472010941,1.677234595
55,1,1,-0.523286039,-1.755100159,1.677234595
56,1,1,-0.190956192,-0.736384163,-0.826432799
56,1,1,1.368932578,-1.423437695,-0.826432799
57,0,1,0.872479991,0.840737931,-0.508375664
57,1,1,-0.693585041,1.060779464,-0.508375664
