y,x1,x2,species
0.207100783,2.29277225,1.063961694,1
2.831693847,4.06415524,5.21777295,2
1.513344147,1.696243165,9.288356514,3
1.27351268,4.28663359,6.750098588,4
2.450989688,5.614508514,8.749768701,5
6.802864302,2.795921038,6.197834106,6
1.156060457,0.097015679,4.638457871,7
3.828774923,9.060075032,2.848455661,8
5.671593011,3.390963029,4.955495847,9
-4.702036748,2.576893289,7.037745041,10
5.634111147,8.714546748,8.479777465,11
-4.430193522,8.313165472,7.939793295,12
-0.674305301,1.846174516,8.587397365,13
3.757830543,6.926729076,8.62090952,14
5.156173835,7.163279762,6.513606687,15
6.031565602,9.574483722,2.561684672,16
-5.622457418,5.989865463,8.680492244,17
2.558335619,7.954824562,6.926765523,18
1.133664145,3.719622525,1.03001419,19
4.776846377,4.909313596,7.862090466,20
3.244409637,6.745032165,3.558209811,11
0.97332127,0.830320572,7.523288515,11
8.794473567,5.042486067,7.434208978,16
6.190812098,8.430510832,4.766907592,9
5.490982049,8.387594507,9.759295455,11
-4.503859659,8.56391859,6.847166719,12
3.041758427,9.066109725,6.51268559,8
-4.034666693,7.355603422,8.783770797,10
3.515453014,7.336181446,2.455188979,11
4.508628246,3.149987848,7.676826916,15
0.172876539,1.746505478,2.016887194,4
3.285888733,8.936139708,6.457061502,19
-6.968609112,1.273179639,9.996997286,10
0.589318562,2.281137006,1.177388427,19
0.132141705,4.516968622,2.378137391,7
-4.995748227,4.83737444,8.101317426,17
0.376740175,1.374213917,4.319639804,11
10.29419674,5.713031415,9.500009483,9
5.561639007,0.755596557,7.728813731,6
1.257191161,5.09623633,2.766230728,5
6.653548587,3.837093262,4.774289138,16
3.53772976,3.13178339,7.315884531,20
7.539179047,5.499691528,2.055416491,6
0.986034594,2.713822615,3.324027841,5
3.351966815,8.562189178,9.516043204,5
-2.295295033,5.316513956,7.665561161,12
3.971938628,9.622536441,0.226688138,2
3.086622979,6.430684181,1.496747395,2
1.134118599,6.4595669,9.371463102,7
-0.807019282,3.130293177,6.258484463,12
3.666327257,5.914272119,0.904773555,14
2.109284325,4.971644436,9.468228382,18
0.885260849,1.805009267,1.617912862,18
1.92388393,2.243898723,4.210485702,2
5.776798833,9.435923896,4.135676597,9
0.530998721,0.829983193,0.707215122,15
8.042050923,0.390953815,8.164585931,16
0.981813243,1.162335891,4.7645025,5
3.13480559,5.116324797,0.129277674,3
6.614147005,4.093335154,2.815275255,6
4.389945457,9.609967847,4.024239739,2
5.248977408,7.706076188,4.882160244,20
4.023380352,7.137934924,0.645050281,3
2.388479886,2.367553036,4.098540347,20
0.836343977,1.171457798,1.379276647,3
0.120396634,8.347847161,9.042213783,13
3.851179823,7.342111627,5.818410427,14
0.759679276,6.348317622,1.405780453,13
5.624714875,8.186927917,9.795690903,11
1.593948602,2.822754045,6.027312009,5
2.025033608,3.177009025,8.213186802,3
-0.426191055,0.352296052,7.672378307,14
-5.305118463,9.251574355,8.994314536,17
-1.114214451,5.783067599,1.340906587,17
0.384205457,0.02510428,2.988563664,3
0.126004233,1.791702772,2.752321835,4
1.354590007,2.341030065,4.359101881,8
6.479398104,6.111423229,3.999283069,16
-0.277144476,2.05887913,6.492904332,1
0.623806899,0.580498704,5.289506223,19
2.477813111,6.197001736,6.125009814,19
0.126353908,1.026177963,9.293387739,12
-5.706308094,7.514095129,9.728550974,17
5.70034314,2.995899934,4.067078084,16
4.152733371,6.762525239,7.276720789,3
1.78619228,2.691299501,2.033022013,15
-3.394369493,6.227349762,2.650413245,12
5.266698261,9.561353468,4.390356101,15
10.3596868,8.231245587,2.994719502,6
1.058990039,0.54536107,5.455201841,18
4.61600492,5.846517927,5.709868108,20
8.941167512,3.428384815,8.095386089,9
1.771298698,3.066225389,1.422358386,2
1.27166736,1.707385441,2.214663315,3
4.805714266,8.952615038,0.865027166,16
10.95752944,9.711676673,8.380999237,16
2.144649398,2.179497224,1.622698943,8
7.614485018,5.954781035,6.284662134,9
8.499371289,3.776990501,8.134866678,6
1.391295437,2.370206444,7.195057299,19
2.526688118,8.856342856,1.71507743,19
4.218374163,3.700797493,9.693534942,20
1.215007498,3.11370394,8.066548193,18
9.249926968,0.14590879,9.644781309,16
0.175714494,2.436470338,2.146577791,1
-0.161927033,8.498930447,3.548050153,10
2.506378663,3.473828714,1.005097453,8
3.661359443,5.998205654,0.153628364,14
4.23895746,8.854939549,7.87569969,2
3.745902876,6.657507047,4.095711964,14
0.652361902,5.065726039,5.795544463,7
8.527224797,4.422186182,7.544750487,6
4.446896966,9.619193606,8.039214949,2
3.473540799,6.993584125,2.637247532,1
3.761396498,8.694499142,8.845494208,1
0.682530177,1.491680043,3.165625008,5
3.704531255,5.913386326,6.451867006,3
2.579483716,5.280333632,4.732367634,11
0.494541788,7.155051208,5.320518445,13
3.599781002,8.470843104,0.047362205,11
4.987474256,8.683406825,4.012056994,14
4.458505834,7.538531986,8.700004367,3
1.475183953,4.927673985,3.871055329,19
9.721100684,4.168442318,8.882811151,9
0.623334194,0.196693579,3.009047741,18
0.222098168,3.250645644,1.760067018,13
1.299630134,2.902602863,5.209971515,11
5.053035964,4.411326982,8.507066236,15
2.261064531,5.086816845,7.862293269,14
2.953741206,4.454530021,3.307136944,15
1.331032981,7.00029724,0.434867076,10
8.330064761,3.404234075,7.678389729,9
1.84788517,1.032489655,7.799315995,7
8.864925726,1.771043153,8.585934977,9
-6.630845998,2.235205483,9.541867957,10
0.435653463,5.908567789,1.223614486,10
3.770129972,8.854729084,7.630649437,4
1.768508718,4.874123496,6.788411639,8
-0.283574444,6.330214159,2.850074093,10
3.178627815,3.420236756,4.601487669,20
3.789791703,4.407859945,5.160489499,15
8.108609942,3.852377108,7.510309098,6
4.977770168,8.905139156,3.18506686,9
0.003941855,0.152234565,1.481996628,14
-4.827469863,9.082740839,2.214954465,12
6.38562457,7.657772519,8.138171355,15
3.82772628,6.582395865,8.33303082,3
2.52497185,7.028134798,5.266787522,8
3.731349378,7.552024,0.58468705,8
2.485166514,3.845728759,7.047466335,11
2.035715028,5.626971272,1.195508488,11
0.037359572,7.041072564,8.959911955,13
2.362986059,6.655410221,1.42496499,18
-0.048827996,8.300114879,3.149891282,7
1.129341796,1.081116232,0.056855823,18
-1.121639913,2.769508865,2.072401356,10
6.491780776,9.724745783,6.750268845,15
2.476722177,6.652590318,5.650751698,19
3.696480252,9.199003712,3.115337885,8
-0.238115366,3.788585656,0.976037085,10
-1.338629339,5.440336925,3.735969432,10
4.455971767,1.52702918,9.027950342,15
-0.192375689,1.399436865,5.691268241,4
2.432299317,5.323657652,7.49254877,14
1.618406667,2.651179961,2.970580459,14
0.571054657,5.631934414,0.792791704,10
1.001179082,1.577437569,4.71572536,14
2.210938237,7.116543511,5.36169078,18
3.484424194,8.209795079,8.199518309,1
-2.317653426,7.338306534,6.539548435,10
-5.325718761,6.542155079,9.033547651,17
4.158124154,9.51593257,1.457845673,2
2.786272318,5.965311234,1.924542077,1
