y,x1,x2,species
2,-0.76570844,-0.724144671,1
1,0.669569432,0.808442757,2
1,0.468422325,0.163682085,3
1,0.269663524,-0.718843909,4
1,0.637385583,0.959138181,5
1,-0.435449191,0.205462402,6
1,-0.364598195,0.64263736,7
2,-0.92954079,0.534475661,8
0,0.850314871,0.798862907,9
1,0.15661352,-0.731818683,10
0,-0.994979144,-0.402287267,11
1,-0.641659446,-0.449535633,12
1,-0.531793987,-0.128179624,13
1,0.222284646,-0.200143386,14
3,-0.588224174,0.298580866,15
1,-0.883900259,0.057901245,16
4,0.239400347,0.225001963,17
2,-0.794764407,0.858677548,18
0,0.502819026,0.945710195,19
1,-0.400820013,-0.186584383,20
2,0.352505048,0.455344158,3
1,-0.4617401,-0.593395597,15
2,0.245469952,-0.469917351,12
0,0.912270694,-0.12192878,15
3,0.646249117,-0.4010561,6
1,-0.890927786,0.091040368,18
2,0.169303585,0.141973622,20
1,-0.314323037,0.619077218,9
0,-0.386754922,-0.715528323,2
2,-0.658522912,-0.557067337,3
1,0.790523008,-0.826994567,16
1,0.942335335,0.676199847,16
1,-0.564100555,-0.675460211,8
1,0.190956207,0.256932427,9
4,-0.2446019,0.626973336,6
0,-0.525958711,0.43901146,19
3,0.771268571,-0.656984514,19
1,-0.259840501,0.938706988,20
2,-0.377259212,0.613309639,18
0,-0.970818242,0.928956262,16
0,-0.512705932,-0.570684442,1
0,0.699786089,-0.290389969,10
1,-0.305234257,-0.798980509,8
4,0.199641131,-0.969274327,14
1,0.77098791,0.575139938,2
2,0.331501409,-0.180857607,14
1,0.013145208,0.159108893,7
2,-0.115562764,0.508950097,6
0,0.923838721,0.60784299,2
1,0.398716825,-0.472550494,1
2,0.738899828,0.769098842,1
1,-0.701663991,-0.366874998,5
2,0.182677265,0.290373401,3
0,0.056066726,-0.053526473,11
2,0.431010242,0.064103689,13
3,0.694168621,-0.990527559,11
3,0.736681365,-0.197588601,14
4,0.507706397,0.740000873,3
0,-0.014465203,-0.225788934,19
0,-0.166311536,0.77656223,9
0,-0.960661284,-0.398190452,18
0,-0.349870871,-0.647986596,13
1,-0.419479427,0.041994303,11
1,-0.117734604,0.701413247,15
0,0.017363369,0.572458654,14
1,-0.109093996,-0.338572611,15
0,0.400059448,-0.913026585,10
3,-0.319153185,0.535677946,9
1,-0.793502069,0.559863199,7
0,-0.645791369,0.717186995,9
1,-0.552958903,0.908373591,10
1,0.181713558,-0.755277103,10
2,0.770945817,0.526129887,4
0,-0.025175301,0.357682328,8
2,0.266042832,-0.429985181,10
1,-0.315952649,-0.079702466,20
1,-0.118428011,0.0320979,15
0,-0.229524578,0.50206182,6
0,0.781027831,-0.362986628,9
1,-0.969553087,-0.703600674,14
1,0.816548168,-0.557009107,12
2,0.531554504,0.627634271,15
2,0.316479173,0.666606164,3
1,0.40562696,0.053357504,8
1,0.5104048,-0.88306259,8
1,-0.230854248,0.409493267,11
0,0.125394254,-0.760898302,11
2,0.408214513,0.791982391,13
0,0.331082044,-0.715007002,18
0,0.660022976,-0.370021744,7
0,-0.783776754,-0.988628835,18
0,-0.446098227,-0.585519729,10
4,0.944949157,0.350053769,15
1,0.330518064,0.13015034,19
2,0.839800742,-0.376932423,8
0,-0.242282869,-0.804792583,10
2,0.088067385,-0.252806114,10
2,-0.694594164,0.805590068,15
0,-0.720112627,0.138253648,4
1,0.06473153,0.498509754,14
2,-0.469764008,-0.405883908,14
0,0.126386883,-0.841441659,10
1,-0.684512486,-0.056854928,14
1,0.423308702,0.072338156,18
3,0.641959016,0.639903662,1
2,0.467661307,0.307909687,10
2,0.308431016,0.80670953,17
0,0.903186514,-0.708430865,2
0,0.193062247,-0.615091585,1
2,-0.134156084,0.386664764,13
0,0.761715899,-0.096681039,7
0,0.574979406,-0.842509838,6
0,0.742385067,0.214143062,18
4,0.472227053,0.211384153,19
3,0.727476288,0.724529789,11
0,-0.436126986,-0.556186204,13
1,0.58144023,0.680696,13
2,0.191281308,-0.275825852,11
2,0.028838987,0.336354243,19
3,-0.39564614,0.849598321,12
0,-0.352557445,0.823449742,7
2,0.553115882,-0.849815434,16
1,0.946152868,-0.086250079,1
0,-0.445265326,0.159980981,6
2,0.700741753,0.09351839,2
1,-0.172747943,0.484848168,4
1,0.251272885,0.82079927,5
1,-0.290805445,-0.867163323,7
1,-0.96763294,-0.189280313,9
0,0.991450456,-0.483656998,12
3,0.947112727,-0.092627127,13
0,-0.837802269,-0.672855543,9
1,-0.090210143,0.727122192,1
0,0.441120774,-0.803395879,15
2,0.138915312,0.876619174,18
0,0.215952589,0.265240767,17
0,0.102131434,-0.905799255,1
0,0.279891301,-0.189181581,16
0,0.96683425,0.247914006,5
2,-0.655406117,0.930618186,1
0,-0.826815161,0.249573638,16
3,-0.423777128,-0.582019845,3
1,0.598247183,-0.142709653,8
0,0.610495105,-0.646554378,14
0,-0.175708853,0.923244494,18
2,-0.974286275,-0.659376731,7
1,0.70407882,0.321966907,15
2,0.504786059,0.663654683,19
0,0.21853703,0.585043951,19
3,-0.134221568,-0.279841653,4
1,-0.783281767,0.788153807,5
1,-0.316265035,0.563014297,11
0,0.929148649,0.585479647,5
1,-0.893774837,-0.247502388,18
2,0.082351633,-0.530517744,12
4,0.364597588,0.726931612,19
1,0.423157901,-0.957757011,13
0,0.918579457,-0.929863455,6
0,0.246978809,0.281223809,9
1,-0.423781888,-0.20443373,17
1,-0.501756986,-0.577789404,19
