"","treated","age","education","black","hispanic","married","nodegree","re74","re78","re75"
"1",1,37,11,1,0,1,1,0,9930.046,0
"2",1,22,9,0,1,0,1,0,3595.894,0
"3",1,30,12,1,0,0,0,0,24909.45,0
"4",1,27,11,1,0,0,1,0,7506.146,0
"5",1,33,8,1,0,0,1,0,289.7899,0
"6",1,22,9,1,0,0,1,0,4056.494,0
"7",1,23,12,1,0,0,0,0,0,0
"8",1,32,11,1,0,0,1,0,8472.158,0
"9",1,22,16,1,0,0,0,0,2164.022,0
"10",1,33,12,0,0,1,0,0,12418.07,0
"11",1,19,9,1,0,0,1,0,8173.908,0
"12",1,21,13,1,0,0,0,0,17094.64,0
"13",1,18,8,1,0,0,1,0,0,0
"14",1,27,10,1,0,1,1,0,18739.93,0
"15",1,17,7,1,0,0,1,0,3023.879,0
"16",1,19,10,1,0,0,1,0,3228.503,0
"17",1,27,13,1,0,0,0,0,14581.86,0
"18",1,23,10,1,0,0,1,0,7693.4,0
"19",1,40,12,1,0,0,0,0,10804.32,0
"20",1,26,12,1,0,0,0,0,10747.35,0
"21",1,23,11,1,0,0,1,0,0,0
"22",1,41,14,0,0,0,0,0,5149.501,0
"23",1,38,9,0,0,0,1,0,6408.95,0
"24",1,24,11,1,0,0,1,0,1991.4,0
"25",1,18,10,1,0,0,1,0,11163.17,0
"26",1,29,11,1,0,1,1,0,9642.999,0
"27",1,25,11,1,0,0,1,0,9897.049,0
"28",1,27,10,0,1,0,1,0,11142.87,0
"29",1,17,10,1,0,0,1,0,16218.04,0
"30",1,24,11,1,0,0,1,0,995.7002,0
"31",1,17,10,1,0,0,1,0,0,0
"32",1,48,4,1,0,0,1,0,6551.592,0
"33",1,25,11,1,0,1,1,0,1574.424,0
"34",1,20,12,1,0,0,0,0,0,0
"35",1,25,12,1,0,0,0,0,3191.753,0
"36",1,42,14,1,0,0,0,0,20505.93,0
"37",1,25,5,1,0,0,1,0,6181.88,0
"38",1,23,12,1,0,1,0,0,5911.551,0
"39",1,46,8,1,0,1,1,0,3094.156,0
"40",1,24,10,1,0,0,1,0,0,0
"41",1,21,12,1,0,0,0,0,1254.582,0
"42",1,19,9,0,0,0,1,0,13188.83,0
"43",1,17,8,1,0,0,1,0,8061.485,0
"44",1,18,8,0,1,1,1,0,2787.96,0
"45",1,20,11,1,0,0,1,0,3972.54,0
"46",1,25,11,1,0,1,1,0,0,0
"47",1,17,8,1,0,0,1,0,0,0
"48",1,17,9,1,0,0,1,0,0,0
"49",1,25,5,1,0,0,1,0,12187.41,0
"50",1,23,12,1,0,0,0,0,4843.176,0
"51",1,28,8,1,0,0,1,0,0,0
"52",1,31,11,1,0,1,1,0,8087.487,0
"53",1,18,11,1,0,0,1,0,0,0
"54",1,25,12,1,0,0,0,0,2348.973,0
"55",1,30,11,1,0,1,1,0,590.7818,0
"56",1,17,10,1,0,0,1,0,0,0
"57",1,37,9,1,0,0,1,0,1067.506,0
"58",1,41,4,1,0,1,1,0,7284.986,0
"59",1,42,14,1,0,1,0,0,13167.52,0
"60",1,22,11,0,0,0,1,0,1048.432,0
"61",1,17,8,1,0,0,1,0,0,0
"62",1,29,8,1,0,0,1,0,1923.938,0
"63",1,35,10,1,0,0,1,0,4666.236,0
"64",1,27,11,1,0,0,1,0,549.2984,0
"65",1,29,4,1,0,0,1,0,762.9146,0
"66",1,28,9,1,0,0,1,0,10694.29,0
"67",1,27,11,1,0,0,1,0,0,0
"68",1,23,7,0,0,0,1,0,0,0
"69",1,45,5,1,0,1,1,0,8546.715,0
"70",1,29,13,1,0,0,0,0,7479.656,0
"71",1,27,9,1,0,0,1,0,0,0
"72",1,46,13,1,0,0,0,0,647.2046,0
"73",1,18,6,1,0,0,1,0,0,0
"74",1,25,12,1,0,0,0,0,11965.81,0
"75",1,28,15,1,0,0,0,0,9598.541,0
"76",1,25,11,0,0,0,1,0,18783.35,0
"77",1,22,12,1,0,0,0,0,18678.08,0
"78",1,21,9,1,0,0,1,0,0,0
"79",1,40,11,1,0,0,1,0,23005.6,0
"80",1,22,11,1,0,0,1,0,6456.697,0
"81",1,25,12,1,0,0,0,0,0,0
"82",1,18,12,1,0,0,0,0,2321.107,0
"83",1,38,12,0,0,0,0,0,4941.849,0
"84",1,27,13,1,0,0,0,0,0,0
"85",1,27,8,1,0,0,1,0,0,0
"86",1,38,11,1,0,0,1,0,0,0
"87",1,23,8,0,1,0,1,0,3881.284,0
"88",1,26,11,1,0,0,1,0,17230.96,0
"89",1,21,12,0,0,0,0,0,8048.603,0
"90",1,25,8,1,0,0,1,0,0,0
"91",1,31,11,1,0,1,1,0,14509.93,0
"92",1,17,10,1,0,0,1,0,0,0
"93",1,25,11,1,0,0,1,0,0,0
"94",1,21,12,1,0,0,0,0,9983.784,0
"95",1,44,11,1,0,0,1,0,0,0
"96",1,25,12,0,0,0,0,0,5587.503,0
"97",1,18,9,1,0,0,1,0,4482.845,0
"98",1,42,12,1,0,0,0,0,2456.153,0
"99",1,25,10,1,0,0,1,0,0,0
"100",1,31,9,0,1,0,1,0,26817.6,0
"101",1,24,10,1,0,0,1,0,0,0
"102",1,26,10,1,0,0,1,0,9265.788,0
"103",1,25,11,1,0,0,1,0,485.2298,0
"104",1,18,11,1,0,0,1,0,4814.627,0
"105",1,19,11,1,0,0,1,0,7458.105,0
"106",1,43,9,1,0,0,1,0,0,0
"107",1,27,13,1,0,0,0,0,34099.28,0
"108",1,17,9,1,0,0,1,0,1953.268,0
"109",1,30,11,1,0,0,1,0,0,0
"110",1,26,10,1,0,1,1,2027.999,0,0
"111",1,20,9,1,0,0,1,6083.994,8881.665,0
"112",1,17,9,0,1,0,1,445.1704,6210.67,74.34345
"113",1,20,12,1,0,0,0,989.2678,0,165.2077
"114",1,18,11,1,0,0,1,858.2543,929.8839,214.5636
"115",1,27,12,1,0,1,0,3670.872,0,334.0493
"116",1,21,12,0,0,0,0,3670.872,12558.02,334.0494
"117",1,27,12,1,0,0,0,2143.413,22163.25,357.9499
"118",1,20,12,1,0,0,0,0,1652.637,377.5686
"119",1,19,10,1,0,0,1,0,8124.715,385.2741
"120",1,23,12,1,0,0,0,5506.308,671.3318,501.0741
"121",1,29,14,1,0,0,0,0,17814.98,679.6734
"122",1,18,10,1,0,0,1,0,9737.154,798.9079
"123",1,19,9,1,0,0,1,0,17685.18,798.9079
"124",1,27,13,0,0,1,0,9381.566,0,853.7225
"125",1,18,11,0,0,0,1,3678.231,4321.705,919.5579
"126",1,27,9,1,0,1,1,0,1773.423,934.4454
"127",1,22,12,1,0,0,0,5605.852,0,936.1773
"128",1,23,10,1,0,1,1,0,11233.26,936.4386
"129",1,23,12,0,1,0,0,9385.74,559.4432,1117.439
"130",1,20,11,1,0,0,1,3637.498,1085.44,1220.836
"131",1,17,9,1,0,0,1,1716.509,5445.2,1253.439
"132",1,28,11,1,0,0,1,0,60307.93,1284.079
"133",1,26,11,1,0,1,1,0,1460.36,1392.853
"134",1,20,11,1,0,0,1,16318.62,6943.342,1484.994
"135",1,24,11,1,0,1,1,824.3886,4032.708,1666.113
"136",1,31,9,1,0,0,1,0,10363.27,1698.607
"137",1,23,8,0,0,1,1,0,4232.309,1713.15
"138",1,18,10,1,0,0,1,2143.411,11141.39,1784.274
"139",1,29,12,1,0,0,0,10881.94,0,1817.284
"140",1,26,11,0,0,0,1,0,13385.86,2226.266
"141",1,24,9,1,0,0,1,9154.7,4849.559,2288.675
"142",1,25,12,1,0,0,0,14426.79,0,2409.274
"143",1,24,10,1,0,0,1,4250.402,1660.508,2421.947
"144",1,46,8,1,0,0,1,3165.658,0,2594.723
"145",1,31,12,0,0,0,0,0,2484.549,2611.218
"146",1,19,11,1,0,0,1,2305.026,4146.603,2615.276
"147",1,19,8,1,0,0,1,0,9970.681,2657.057
"148",1,27,11,1,0,0,1,2206.94,0,2666.274
"149",1,26,11,1,0,1,1,0,26372.28,2754.646
"150",1,20,10,1,0,0,1,5005.731,5615.189,2777.355
"151",1,28,10,1,0,0,1,0,3196.571,2836.506
"152",1,24,12,1,0,0,0,13765.75,6167.681,2842.764
"153",1,19,8,1,0,0,1,2636.353,7535.942,2937.264
"154",1,23,12,1,0,0,0,6269.341,8484.239,3039.96
"155",1,42,9,1,0,1,1,0,1294.409,3058.531
"156",1,25,13,1,0,0,0,12362.93,0,3090.732
"157",1,18,9,1,0,0,1,0,5010.342,3287.375
"158",1,21,12,1,0,0,0,6473.683,9371.037,3332.409
"159",1,27,10,1,0,0,1,1001.146,0,3550.075
"160",1,21,8,1,0,0,1,989.2678,4279.613,3695.897
"161",1,22,9,1,0,0,1,2192.877,3462.564,3836.986
"162",1,31,4,1,0,0,1,8517.589,7382.549,4023.211
"163",1,24,10,1,0,1,1,11703.2,0,4078.152
"164",1,29,10,1,0,0,1,0,0,4398.95
"165",1,29,12,1,0,0,0,9748.387,10976.51,4878.937
"166",1,19,10,0,0,0,1,0,13829.62,5324.109
"167",1,19,11,0,1,1,1,5424.485,6788.463,5463.803
"168",1,31,9,1,0,0,1,10717.03,9558.501,5517.841
"169",1,22,10,1,0,1,1,1468.348,13228.28,5588.664
"170",1,21,9,1,0,0,1,6416.47,743.6666,5749.331
"171",1,17,10,1,0,0,1,1291.468,5522.788,5793.852
"172",1,26,12,1,0,1,0,8408.762,1424.944,5794.831
"173",1,20,9,0,1,0,1,12260.78,1358.643,5875.049
"174",1,19,10,1,0,0,1,4121.949,0,6056.754
"175",1,26,10,1,0,0,1,25929.68,672.8773,6788.958
"176",1,28,11,1,0,0,1,1929.029,0,6871.856
"177",1,22,12,0,1,1,0,492.2305,10092.83,7055.702
"178",1,33,11,1,0,0,1,0,6281.433,7867.916
"179",1,22,12,0,0,0,0,6759.994,12590.71,8455.504
"180",1,29,10,0,1,0,1,0,5112.014,8853.674
"181",1,33,12,1,0,1,0,20279.95,15952.6,10941.35
"182",1,25,14,1,0,1,0,35040.07,36646.95,11536.57
"183",1,35,9,1,0,1,1,13602.43,12803.97,13830.64
"184",1,35,8,1,0,1,1,13732.07,3786.628,17976.15
"185",1,33,11,1,0,1,1,14660.71,4181.942,25142.24
"186",0,47,12,0,0,0,0,0,0,0
"187",0,50,12,1,0,1,0,0,0,0
